,epoch,train acc,val acc
0,0,0.41914191419141916,0.46046046046046046
1,1,0.42504250425042506,0.4724724724724725
2,2,0.43944394439443946,0.4074074074074074
3,3,0.45474547454745473,0.4444444444444444
4,4,0.4596459645964596,0.43843843843843844
5,5,0.46764676467646765,0.4394394394394394
6,6,0.47694769476947696,0.44144144144144143
7,7,0.46914691469146913,0.42742742742742745
8,8,0.48624862486248627,0.3943943943943944
9,9,0.49324932493249324,0.4074074074074074
10,10,0.5061506150615062,0.42842842842842843
11,11,0.5153515351535154,0.4114114114114114
12,12,0.5258525852585259,0.42742742742742745
13,13,0.52995299529953,0.4174174174174174
14,14,0.5448544854485449,0.4124124124124124
15,15,0.561956195619562,0.4034034034034034
16,16,0.5778577857785778,0.44044044044044045
17,17,0.5807580758075808,0.44544544544544545
18,18,0.611961196119612,0.43043043043043044
19,19,0.6322632263226322,0.4364364364364364
20,20,0.6426642664266426,0.43343343343343343
21,21,0.6724672467246725,0.44244244244244246
22,22,0.6940694069406941,0.42342342342342343
23,23,0.6825682568256826,0.4194194194194194
24,24,0.7143714371437143,0.4294294294294294
25,25,0.7267726772677268,0.46646646646646645
26,26,0.7357735773577357,0.4244244244244244
27,27,0.7377737773777377,0.41041041041041043
28,28,0.753075307530753,0.42342342342342343
29,29,0.7682768276827683,0.42842842842842843
30,30,0.742974297429743,0.4744744744744745
