,epoch,train acc,val acc
0,0,0.40554055405540557,0.44844844844844844
1,1,0.4148414841484148,0.45245245245245247
2,2,0.4144414441444144,0.45345345345345345
3,3,0.41224122412241226,0.4444444444444444
4,4,0.41044104410441046,0.44144144144144143
5,5,0.4063406340634063,0.44244244244244246
6,6,0.41094109410941093,0.44644644644644643
7,7,0.41224122412241226,0.44544544544544545
8,8,0.40804080408040805,0.43543543543543545
9,9,0.41534153415341535,0.44844844844844844
10,10,0.416041604160416,0.4544544544544545
11,11,0.41254125412541254,0.44844844844844844
12,12,0.42034203420342037,0.44644644644644643
13,13,0.41394139413941394,0.45345345345345345
14,14,0.4154415441544154,0.43743743743743746
15,15,0.41094109410941093,0.45145145145145144
16,16,0.4162416241624162,0.45145145145145144
17,17,0.41234123412341234,0.4644644644644645
18,18,0.416041604160416,0.45645645645645644
19,19,0.41614161416141615,0.4594594594594595
20,20,0.41954195419541956,0.45845845845845845
21,21,0.41224122412241226,0.44644644644644643
22,22,0.4144414441444144,0.4394394394394394
23,23,0.41774177417741776,0.44144144144144143
24,24,0.4067406740674067,0.44544544544544545
25,25,0.4158415841584158,0.45045045045045046
26,26,0.41554155415541555,0.4494494494494494
27,27,0.41594159415941595,0.44844844844844844
28,28,0.41594159415941595,0.44244244244244246
29,29,0.41924192419241924,0.4494494494494494
30,30,0.4164416441644164,0.4644644644644645
31,31,0.41824182418241823,0.4494494494494494
32,32,0.41894189418941896,0.4594594594594595
33,33,0.41394139413941394,0.4544544544544545
34,34,0.41494149414941495,0.45545545545545546
35,35,0.41344134413441347,0.4364364364364364
36,36,0.41144114411441146,0.45045045045045046
37,37,0.41834183418341836,0.45045045045045046
38,38,0.41884188418841883,0.4444444444444444
39,39,0.416041604160416,0.45545545545545546
40,40,0.41804180418041803,0.4624624624624625
41,41,0.41474147414741475,0.45145145145145144
42,42,0.41574157415741575,0.45145145145145144
43,43,0.42024202420242024,0.4544544544544545
44,44,0.41744174417441743,0.44844844844844844
45,45,0.4162416241624162,0.45545545545545546
46,46,0.41904190419041903,0.46046046046046046
47,47,0.42284228422842285,0.46146146146146144
48,48,0.41774177417741776,0.46046046046046046
49,49,0.41734173417341736,0.4574574574574575
50,50,0.4168416841684168,0.46146146146146144
51,51,0.41974197419741976,0.46046046046046046
52,52,0.41654165416541655,0.45545545545545546
53,53,0.42064206420642064,0.45245245245245247
54,54,0.42044204420442044,0.45045045045045046
55,55,0.41964196419641964,0.45245245245245247
56,56,0.41804180418041803,0.45345345345345345
57,57,0.41824182418241823,0.44344344344344344
58,58,0.41854185418541856,0.45345345345345345
59,59,0.41804180418041803,0.45145145145145144
60,60,0.4146414641464146,0.4494494494494494
61,61,0.42004200420042004,0.45245245245245247
62,62,0.41334133413341334,0.45245245245245247
